years,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Pacific, Western Central",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,22733,34584,28707,31826,34712,33888,39293
"Atlantic, Eastern Central",0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,400,500,500,200,400,456,487,397,462,419,570,293,294,289,669,620,358,568,919,595,642,378,345,443,442,566,502,551,564,789,13779,12040,11791,14133,15095,15085,15735,16067,14303,15092,15176,15549,20826,34135,37363
"Atlantic, Southwest",500,900,1400,2700,2000,2000,3300,3600,4000,3200,2800,2200,2800,4700,4400,4600,4300,6200,8600,8000,5700,5800,5400,8600,9300,9554,5082,4816,6013,4569,5115,4730,5912,5470,5514,6265,7241,7227,13796,8152,10944,12824,14413,17015,15895,15447,18039,20649,22595,21143,18121,23904,18723,23263,22627,23036,25475,27452,31279,28350,30463,34433
"Atlantic, Northeast",28800,35800,38100,33800,36100,37000,39900,39300,45900,40500,48300,61400,48800,56700,51100,41900,42600,44400,50100,58800,63500,54800,60900,57300,51924,60273,48080,45898,61813,60487,51892,47203,46277,54974,53478,54882,48854,56654,50313,42975,50557,48419,49622,46105,38831,39834,37921,48776,46564,45611,51276,49372,45087,47881,45845,35155,31635,36290,34844,36666,27384,28880
"Indian Ocean, Western",4800,4800,5700,6300,5700,6800,5600,10200,5500,5700,6600,5500,6800,8000,12000,14000,22800,26100,26000,25000,26800,26400,35800,43800,21279,22372,22347,34317,30916,32691,23745,18193,15586,8128,9853,15142,14823,15241,18090,16814,23138,26338,27773,28780,30239,32294,34462,41345,44483,44037,41382,38949,39967,35455,36376,34042,31858,27197,26080,23416,21684,22936
"Indian Ocean, Eastern",0,0,0,0,0,0,0,0,0,0,5000,5000,8000,8000,9000,8000,8000,9600,8000,10000,9400,7400,8600,13400,11800,9800,11700,8500,9400,9600,10600,15900,15100,14400,11000,11300,11832,12265,12673,13002,11904,14356,14555,23083,32138,27581,26939,24382,20423,28533,23041,12282,12168,15055,12892,28703,28858,35033,19571,19348,22316,22562
"Atlantic, Western Central",2000,2000,1000,1100,1200,1500,1600,1500,1500,1900,1900,1900,4100,3900,4900,5000,4500,5000,5200,5400,3000,3200,3500,4900,4404,4631,4440,5602,4713,5012,6893,8302,7666,10449,12704,11111,11456,10435,11730,11739,11646,10187,12994,12895,16831,12482,12584,11968,9508,6612,7918,6763,9391,12792,15129,15262,12468,12174,10368,12727,13106,19520
"Pacific, Southeast",1200,900,2000,2300,4100,2000,2400,2800,2700,3600,6700,3000,4500,4500,5000,5600,7700,13200,16600,10200,13200,9700,9700,20500,14925,12666,9144,10466,11714,8365,10399,11172,10580,9266,28611,10649,13894,14581,15881,15701,9153,7956,12911,14638,9030,8086,6024,7077,12084,4758,6930,10016,14015,5303,8303,8938,6442,9802,11369,9256,13888,13142
"Pacific, Southwest",400,500,600,400,500,500,500,700,700,800,800,1000,1100,1000,800,1100,1100,1100,1100,1100,1500,1700,1400,1600,2594,2363,3533,4516,3468,3188,4949,6166,6594,8099,9047,8476,5694,6129,8334,7339,7031,6888,6619,9707,8025,10154,8078,15829,9900,12198,11073,12089,13690,10347,10090,11062,11747,12464,12741,12319,12414,12035
"Atlantic, Southeast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4606,4513,6372,7408,6604,6818,7826,7857,10575,13524,14202,10050,12536,12383,11808
"Pacific, Eastern Central",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,2800,2400,3400,4293,3693,4551,5424,8037,9137,9017,11139,9661,5615,6123,6789,5781,5316,6548,6484,9408,7789,7140,7851,7895,8097,7635,5270,5823,5504,5386,4475,4749,5034,4711,6375,6322,8832,9395,10777,10946,10805
"Atlantic, Northwest",426,318,295,498,428,631,790,959,1082,1393,902,2948,3804,7336,10156,6065,7901,3557,5164,10558,6077,12075,24349,19160,24683,22792,17660,8369,1674,6619,5678,7629,7578,5494,1353,5109,3308,3160,3939,5352,17189,14604,18976,22543,16435,25325,29361,22226,24188,19953,15264,8550,8181,4512,5644,6887,8277,7302,9429,6787,15047,10136
Mediterranean and Black Sea,2100,2000,2100,2600,2600,3200,3700,3500,3900,4300,4900,5300,4700,3800,3400,4700,4900,11900,8700,7100,4595,6771,6802,3924,5471,4223,5585,5600,5507,15203,8545,9328,12410,13892,13370,13622,13014,9542,11889,11923,8967,10718,11367,8722,14937,9719,6787,4696,4094,4653,5999,4166,3672,3374,3687,4196,4251,3873,3698,12945,12280,8782
"Pacific, Northeast",1519,1181,1555,1107,930,878,718,855,2150,2031,1147,1081,351,393,1833,1145,958,769,628,297,600,200,100,5200,2021,1238,2974,4366,5834,8963,8023,3282,4113,4848,4381,3967,5316,7433,6912,4105,5504,5371,4386,2787,4100,4044,6053,2725,3077,6442,5415,5260,5764,6297,5990,6011,2967,4707,2986,4546,1942,1534
"Pacific, Northwest",10000,10000,11200,8700,5900,6900,8800,7200,7900,5800,6000,6500,7500,7100,4300,4200,3500,800,0,0,800,300,300,200,325,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,488
"Indian Ocean, Antarctic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,3,8,2,0,2,0,1,2,2
"Atlantic, Antarctic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Totals - Quantity (tonnes),51745,58399,63950,59505,59458,61409,67308,70614,75332,69224,85049,95829,92455,105429,107389,96810,108759,123026,130592,136955,137472,131546,159707,182471,153416,154492,135515,138444,149382,164128,145145,143713,142097,140993,156002,148231,141808,148625,160483,143931,165884,165892,181322,194628,194907,193649,194672,223330,219292,217608,213346,197525,197314,192915,195260,227280,233500,243213,229186,245212,262467,273719
