years,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,474,485,604,524,670,897
Northern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,856,1183,860,674,596,19,806,44,25,680,883,945,977,983,800,984,1011,958,8425,8173,4866
Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,35,0,163,2506,2527,3243,5074,6225,5717,2341,2291,3591,4158
Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,20,13,15,29,14,223,297,160,1256,737,1160,1706,492,682,866,820,486,233
Eastern Asia,10000,10000,11200,8700,5900,6900,8800,7200,7900,5800,6000,6500,7500,7100,4300,4200,3500,800,0,0,800,300,300,200,325,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,23,27,19,74,126,306,772,628,860,0,0,0,2061,5690,8402,8130,9964
Southern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,903,939,1729,2475,3200,4668,7001,11268,11855,10694,27164,23040,29980,27931,17374,14901,18159,17620,16426,15476,12801,11180,10942,11970,13584
South-Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16536,14472,12066,5415,5302,2585,4014
Northern America,1945,1499,1850,1405,1158,1109,1108,1614,2932,2524,1549,1105,931,1065,1607,1479,1372,891,511,763,762,452,0,0,994,668,3210,3147,3523,8771,7601,8343,8805,6542,2765,5258,5053,6410,4595,5858,16323,15717,19387,22900,21173,23976,29853,21149,22455,16266,3387,1563,1309,817,2161,1672,1527,1625,614,1405,1680,1860
Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,30,29,0,0,3,8,10,12,0,12,8,25,24,17,16,23,48,17,14,12
South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,92,120,202,397,409,711,798,721,922,1494,1544,2100,1174,736,2052,3052,1517,1021,3973,4837,4422,4544,4219,5410,4949,4985,4802,3224,3341,3566
Central America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,1107,1584,1671,1585,1627,2212,2437,1782,1116,1536,1334,925,2360,2270,4367,6433,6335,6231,6234
Eastern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,11,73,17,7,423,171,282,169,27,0,0,0,0,0,0,0,0,0,1,36,0,3,0,2,2,2,2,0
Northern Europe,2700,1700,900,800,1300,1000,1100,900,700,1600,2200,10200,6308,11001,10108,6300,8300,8810,8000,15200,19386,8600,7200,11100,10744,18352,7510,7932,7847,11530,8190,4261,5097,3945,4624,3263,2555,483,497,1369,2138,1789,3831,3111,2045,1884,3237,2168,1436,865,474,1739,1225,4905,4502,2051,2905,1839,1374,1426,853,923
