years,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
E Africa,6,4,3,5,7,1,0,872,549,6,9,26,41,117,31,29,47,41,26,32,22,5,4,5,12,16,11,7,5,7,8,9,2,7
E Asia,1126,1144,1149,1133,994,1210,1055,895,916,891,804,847,753,828,845,752,1801,1790,1851,580,2821,3182,2674,2842,3405,2968,2948,3589,3920,2678,1750,1682,1426,1501
W Africa,55,43,21,24,102,58,5,18,28,49,22,75,158,331,67,202,108,72,9,47,21,18,23,64,37,139,137,89,72,77,122,73,81,77
SE Asia,816,497,657,737,884,986,1064,1296,1019,1086,1265,1774,1482,2150,1465,1507,1635,1589,1839,1828,1859,820,401,1319,1794,996,1523,2343,2770,3246,3069,16118,7199,7015
S Asia,340,451,779,407,366,396,458,318,362,319,392,482,639,514,416,334,420,591,234,296,441,352,256,483,520,392,391,265,441,147,356,462,121,131
N America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,107,366,335,441,486,64,65,34,38,37,77
W Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,0,0,146,171,132,37,474,413,527,387,785,679,624,718,711,824,750,685
C America,85,125,281,137,133,137,181,168,189,177,155,190,138,130,0,0,0,0,90,144,191,269,377,280,251,232,166,133,109,97,78,76,61,47
S America,18,9,4,0,140,180,255,265,247,270,221,262,322,310,256,287,368,477,372,408,362,166,107,150,139,175,230,286,440,285,200,204,367,442
Melanesia,17,40,73,45,56,41,12,4,4,10,0,4,2,5,2,3,7,4,2,202,14,0,26,21,14,4,1,3,12,9,10,17,60,3
