Country (Country),Species (ASFIS species),Production area (FAO major fishing area),Production source (Detailed production source),Measure (Measure),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
All,All,"Atlantic, Antarctic",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0,-,-,-,-,-,-,-,-,-
All,All,"Atlantic, Eastern Central",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,...,...,...,...,500,500,500,400,500,500,200,400,456,487,397,462,419,570,293,294,289,669,514,283,486,820,431,497,180,239,291 F,242 F,293 F,297 F,354,317 F,343 F,11829,10519,10285,12316,11997,11322,12100,12442,11920,11760,12355,12607,17686,31125,33816
All,All,"Atlantic, Northeast",Capture production,Quantity (tonnes),12200,10600,8500,9400,9000,8300,9800,12000,11300,13300,13700,21200,8900,14600,14400,10100,12000,12400,11800,18600,19600,9800,7800,12400,11589,19798,8957,9435,13156,21004,15775,11613,16294,16441,15014,15406,16478,11637,13300,12246,18344,18819,24964,25941,28712,36313,22218,49837,36764,36212,45223,47284,31447,27318,25969,20029,19791,25185,25691,26020,20278,20057
All,All,"Atlantic, Northwest",Capture production,Quantity (tonnes),426,318,295,498,428,631,790,959,1082,1393,902,1024,788,773,882,922,5814,2968,4233,9693,5872,11044,23302,14341,20593,22519,17243,7894,1456,4973,4582,6721,6826,5221,1167,4766,2990,2865,3561,4653,15291,13586,17349,20898,14258,22839,27731,20308,22012,16462,3183,1633,1633,1338,1602,2701,2722,1430,2800,1013,8278,494
All,All,"Atlantic, Southeast",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,...,3556,3670,5774,6121,5581,4772,4819,6375,7963,11060,11905,9129,11163,10680,10081
All,All,"Atlantic, Southwest",Capture production,Quantity (tonnes),500,900,1400,2700,2000,2000,3300,3600,4000,3200,1900,1300,400,1500,700,900,1000,800,800,1100,800,1500,1000,700,700,650,1250,814,1784,1075,587,1453,4050,1398,2843,5889,5326,4295,3391,4146,7768,8221,7946,7212,5589,6313,9709,10686,9931,8855,9623,12411,10375,13767,13330,14083,15340,17369,19939,18226,21701,27327
All,All,"Atlantic, Western Central",Capture production,Quantity (tonnes),2000,2000,1000,1100,1200,1500,1600,1500,1400,1700,1700,1700,3800,3700,4700,4800,4300,4900,5100,5300,3000,3100,3400,4800,4216,4445,4359,5548,4660,4985,6853,8219,7464,10432,12608,11056,11405,10352,11580,11596,11610,10164,12708,12588,16729,12436,12331,11866,9429,6566,7877,6650,9216,12632,14626 F,14789 F,11747,11239 F,9784 F,12053 F,12561,18790
All,All,"Indian Ocean, Antarctic",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,3,8,2,0 0,2,-,1,1,2
All,All,"Indian Ocean, Eastern",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,5000,5000,8000,8000,9000,8000,8000,9600,8000,10000,9400,7400,8600,13400,11800,9800,11700,8500,9400,9600,10600,15900,15100,14400,11000,11300,11828,12260,12667,12992,11889,14337,14527,23041,27444,23599,22997,20160,17497,25953,21327,9902,9831,12167,9820,25694,26191,32362,16298,16375,19548,19938
All,All,"Indian Ocean, Western",Capture production,Quantity (tonnes),4800,4800,5700,6300,5700,6800,5600,10200,5500,5700,6600,5500,6800,8000,12000,14000,22800,26100,26000,25000,26800,26400,35800,43800,21279,22372,22347,34317,30916,32691,23745,18193,15586,8128,9853,15142,14823,15241,18090,16814,23138,26338,27773,28780,30239,32294,34462,41345,44465,43488,41000,38691,39500,34874,36028,33092,31075,26300,25111,22236,20481,21942
All,All,Mediterranean and Black Sea,Capture production,Quantity (tonnes),1100,1000,600,1100,1100,1400,1900,1500,1800,2200,2600,2100,1100,1100,300,400,400,6200,700,1100,300,504,760,113,287,330,311,282,273,844,532,343,426,434,552,712,611,538,642,1533,675,1397,1773,1672,1326,1304,797,1612,734,828,1671,1879,1792,1791,2096,1893,2268,2193,2173,9886,9777 F,5676 F
All,All,"Pacific, Eastern Central",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2100,2800,2400,3400,4293,3693,4551,5424,8037,9137,9017,11139,9659 F,5590,6115,6789,5777,5292,6546,6484,9405,7788,7003,7757,7815,8045,7596,5238,5317,5089,5007,4058,4352,4633,4470,6096,6060,8532,8893,10241,10457,9814
All,All,"Pacific, Northeast",Capture production,Quantity (tonnes),1519,1181,1555,1107,930,878,718,855,1950,1431,647,381,351,393,833,945,758,569,328,297,500,100,0 0,0 0,867,522,2660,2263,2684,4086,3478,2191,2076,1777,1940,1288,2333,3666,1598,1331,1395,2243,2030,1957,2324,1300,2053,625,556,1,4,3,0 0,1,2,1,2,1,0 0,0 0,0 0,0 0
All,All,"Pacific, Northwest",Capture production,Quantity (tonnes),10000,10000,11200,8700,5900,6900,8800,7200,7900,5800,6000,6500,7500,7100,4300,4200,3500,800,...,...,800,300,300,200,325,425,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,589,488
All,All,"Pacific, Southeast",Capture production,Quantity (tonnes),100,100,300,0 0,0 0,0 0,0 0,0 0,100,100,200,200,0 0,0 0,100,0 0,400,800,800,500,500,100,300,300,568,331,116,326,215,234,237,371,1126,288,744,587,1764,1520,717,444,194,2298,1877,3550,2859,2212,1779,1808,1765,869,1408,3575,4979,3343,3394,2761,3215,2685,2152,3945,7883,5991
All,All,"Pacific, Southwest",Capture production,Quantity (tonnes),700,800,600,600,1100,1000,1200,1400,1500,1500,1500,1400,1600,1500,1500,1500,1400,1300,1300,1300,2000,2500,2000,1300,1469,1176,1713,2002,816,1511,3149,3768,3798,4958,5945,5431,3945,3314,3612,3317,3976,3716,4043,4253,4712,6911,6369,8022,7735,8946,8527,8391,8596,8657,8086,8777,8080,10267,11203,10289,10050,10160
All,All,"Pacific, Western Central",Capture production,Quantity (tonnes),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22707,34570,28694,31552,33889,33085,38013
Totals - Quantity (tonnes),,,,,33345,31699,31150,31505,27358,29409,33708,39214,36532,36324,40749,46305,39239,46666,49215,46267,60872,66837,59561,73390,71872,65948,86118,95241,78383,86523,75626,77375,73690,90434,78844,80580,82919,69350,68267,79186,77711,71477,75884,75795,103976,109149,122286,137946,142361,153904,148385,186892,170394,169329,163287,152055,137819,137443,138248,172508,183881,190519,177332,193023,216494,222589
Totals - Quantity (number),,,,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
